query,impressions,clicks,ctr,position,source_niche,overlaps_existing_seed,fetched_at
uk capital gains tax residential property rates 2026 higher rate taxpayer,2,0,0.0,3.5,property,False,2026-04-16T18:55:17.700105
uk capital gains tax rates residential property 2026 higher rate taxpayer,2,0,0.0,4.0,property,False,2026-04-16T18:55:17.700105
uk capital gains tax residential property rates 2025/2026,2,0,0.0,4.5,property,False,2026-04-16T18:55:17.700105
uk capital gains tax on property 2026,2,0,0.0,5.0,property,False,2026-04-16T18:55:17.700105
real estate accountant salary,2,0,0.0,6.0,property,False,2026-04-16T18:55:17.700105
uk capital gains tax residential property rates 2025 2026,2,0,0.0,6.0,property,False,2026-04-16T18:55:17.700105
uk capital gains tax rate on residential property 2026,2,0,0.0,6.5,property,False,2026-04-16T18:55:17.700105
rental accountant leeds,2,0,0.0,25.5,property,False,2026-04-16T18:55:17.700105
cgt on property uk,2,0,0.0,47.0,property,False,2026-04-16T18:55:17.700105
capital gains tax uk property,2,0,0.0,50.0,property,False,2026-04-16T18:55:17.700105
mtd thresholds,2,0,0.0,63.0,property,False,2026-04-16T18:55:17.700105
tax relief mortgage interest,2,0,0.0,66.5,property,False,2026-04-16T18:55:17.700105
property tax accounting,2,0,0.0,68.0,property,False,2026-04-16T18:55:17.700105
accountant for investment property,2,0,0.0,96.5,property,False,2026-04-16T18:55:17.700105
sa109 2026,1,0,0.0,5.0,property,False,2026-04-16T18:55:17.700105
uk capital gains tax on inherited property sale 2026,1,0,0.0,5.0,property,False,2026-04-16T18:55:17.700105
what are tax efficient strategies for rental properties?,1,0,0.0,5.0,property,False,2026-04-16T18:55:17.700105
property tax consultant salary,1,0,0.0,6.0,property,False,2026-04-16T18:55:17.700105
uk capital gains tax rates property 2026,1,0,0.0,6.0,property,False,2026-04-16T18:55:17.700105
dental insurance deductible,1,0,0.0,6.0,dentists,False,2026-04-16T20:13:42.966564
uk capital gains tax rates 2025 2026 residential property,1,0,0.0,7.0,property,False,2026-04-16T18:55:17.700105
both,1,0,0.0,8.0,property,False,2026-04-16T18:55:17.700105
gov.uk report and pay capital gains tax on uk property within 60 days 2026,1,0,0.0,8.0,property,False,2026-04-16T18:55:17.700105
uk cgt rates residential property 2026 higher rate taxpayer,1,0,0.0,8.0,property,False,2026-04-16T18:55:17.700105
capital gains tax on second homes,1,0,0.0,10.0,property,False,2026-04-16T18:55:17.700105
capital gain tax on sale of residential property,1,0,0.0,12.0,property,False,2026-04-16T18:55:17.700105
mtd headingly,1,0,0.0,14.0,property,False,2026-04-16T18:55:17.700105
rental accountant headingley,1,0,0.0,28.0,property,False,2026-04-16T18:55:17.700105
accountant in london salary,1,0,0.0,34.0,property,False,2026-04-16T18:55:17.700105
capital gains uk property,1,0,0.0,34.0,property,False,2026-04-16T18:55:17.700105
tax accountant salary london,1,0,0.0,34.0,property,False,2026-04-16T18:55:17.700105
capital gains tax in the uk for property,1,0,0.0,42.0,property,False,2026-04-16T18:55:17.700105
accountant for property in london,1,0,0.0,43.0,property,False,2026-04-16T18:55:17.700105
hmrc capital gains tax property,1,0,0.0,43.0,property,False,2026-04-16T18:55:17.700105
capital gain on property,1,0,0.0,45.0,property,False,2026-04-16T18:55:17.700105
ppr relief calculation,1,0,0.0,48.0,property,False,2026-04-16T18:55:17.700105
capital gains property,1,0,0.0,49.0,property,False,2026-04-16T18:55:17.700105
property sale tax uk,1,0,0.0,49.0,property,False,2026-04-16T18:55:17.700105
reporting sale of property to hmrc,1,0,0.0,49.0,property,False,2026-04-16T18:55:17.700105
capital gain tax uk property,1,0,0.0,50.0,property,False,2026-04-16T18:55:17.700105
capital gains tax on house,1,0,0.0,53.0,property,False,2026-04-16T18:55:17.700105
capital gains tax on real estate,1,0,0.0,55.0,property,False,2026-04-16T18:55:17.700105
capital gains on residential property,1,0,0.0,61.0,property,False,2026-04-16T18:55:17.700105
calculate mortgage tax,1,0,0.0,65.0,property,False,2026-04-16T18:55:17.700105
property structure,1,0,0.0,65.0,property,False,2026-04-16T18:55:17.700105
capital gains tax on sale of property,1,0,0.0,68.0,property,False,2026-04-16T18:55:17.700105
holiday cottages tax,1,0,0.0,68.0,property,False,2026-04-16T18:55:17.700105
property capital gains tax relief,1,0,0.0,75.0,property,False,2026-04-16T18:55:17.700105
holiday rental tax uk,1,0,0.0,76.0,property,False,2026-04-16T18:55:17.700105
incorporating a rental business,1,0,0.0,76.0,property,False,2026-04-16T18:55:17.700105
accountant for dental associates,1,0,0.0,76.0,dentists,False,2026-04-16T20:13:42.966564
self employed dental,1,0,0.0,79.0,dentists,False,2026-04-16T20:13:42.966564
property bookkeeping,1,0,0.0,84.0,property,False,2026-04-16T18:55:17.700105
mortgage interest tax calculator,1,0,0.0,87.0,property,False,2026-04-16T18:55:17.700105
dental associate accountant,1,0,0.0,89.0,dentists,False,2026-04-16T20:13:42.966564
accountant property,1,0,0.0,90.0,property,False,2026-04-16T18:55:17.700105
are mortgage payments on a holiday rental tax deductible,1,0,0.0,90.0,property,False,2026-04-16T18:55:17.700105
accountant property tax,1,0,0.0,91.0,property,False,2026-04-16T18:55:17.700105
private principal residence,1,0,0.0,100.0,property,False,2026-04-16T18:55:17.700105
