category,title,primary_keyword,rationale
Payroll and PAYE,What Are the Rules for Paying an Employee's Mileage at 45p per Mile Tax-Free?,employee mileage 45p tax free,"Allowable vs reimbursed expense, low difficulty"
Payroll and PAYE,How to Handle PAYE for a Worker Who is Also a Director of Another Company,paye for director with two companies,"Multiple employment interaction, mid difficulty"
Payroll and PAYE,Do I Need to Report a Company Car Benefit on a P11D if the Director Pays for All Fuel?,p11d company car fuel paid by director,"Benefit valuation nuance, mid difficulty"
Corporation Tax,How to Claim Corporation Tax Relief on a Capital Loss From Selling a Business Asset,corporation tax capital loss relief,"Loss offset rules for companies, mid difficulty"
Corporation Tax,What is the Deadline for Filing Corporation Tax if My Company's Year End is 31 March 2026?,corporation tax deadline 31 march 2026,"Specific date-based query, low difficulty"
Corporation Tax,Can My Company Claim Enhanced Capital Allowances for Electric Vehicle Charging Points Installed in 2025/26?,enhanced capital allowances ev charging points,"Green relief timing, mid difficulty"
Corporation Tax,How to Calculate Corporation Tax When My Company Has Both Trading and Investment Income,corporation tax trading and investment income,"Mixed income computation, mid difficulty"
Corporation Tax,What Happens if My Company's Corporation Tax Return is Incorrect After HMRC Opens an Enquiry?,hmrc enquiry incorrect corporation tax return,"Compliance risk scenario, mid difficulty"
Corporation Tax,Can I Reduce My Corporation Tax Bill by Paying a Rent Charge to a Connected Company?,rent charge connected company corporation tax,"Transfer pricing and market value rules, mid difficulty"
R&D Tax Credits,Can a Small Software Company Claim R&D Tax Credits for Time Spent on Bug Fixes and Testing?,r&d tax credits bug fixes testing,"Eligibility boundary for software development, mid difficulty"
R&D Tax Credits,What is the Difference Between the RDEC and SME R&D Schemes for a Company That is Notified?,rdec vs sme rd scheme comparison,"Scheme choice for large or notified companies, mid difficulty"
R&D Tax Credits,How to Prepare for an HMRC R&D Enquiry if You Claimed Costs for Subcontracted Developers,hmrc r&d enquiry subcontracted developers,"Common enquiry trigger, mid difficulty"
R&D Tax Credits,Can a Company Claim R&D Tax Credits for a Failed Project That Never Generated Revenue?,r&d tax credits failed project,"Technical uncertainty test application, low difficulty"
R&D Tax Credits,What Qualifies as Consumable Items in an R&D Tax Credit Claim for a Biotech Startup?,consumable items r&d biotech startup,"Sector-specific cost classification, mid difficulty"
R&D Tax Credits,How Does the 2024 Budget Cap on R&D Tax Credits Affect Loss-Making SMEs?,r&d tax credit cap loss making sme,"Post-Budget restriction impact, mid difficulty"
Incorporation and Structure,Should I Incorporate as a Limited Company or a Limited Liability Partnership for My Consulting Business?,limited company vs llp consultant,"Structure comparison for service professionals, mid difficulty"
Incorporation and Structure,How to Transfer a Sole Trader Business to a Limited Company Without Triggering a CGT Bill,transfer sole trader to limited company cgt,"Incorporation relief mechanics, mid difficulty"
Incorporation and Structure,What is the Process for Changing a Company Name With Companies House After Incorporation?,change company name companies house,"Administrative procedure, low difficulty"
Incorporation and Structure,Can I Set Up a Limited Company as a Non-UK Resident Director Living Abroad?,non uk resident director limited company,"Cross-border incorporation rules, mid difficulty"
Incorporation and Structure,How to Structure a Holding Company With Two Trading Subsidiaries for Tax Efficiency,holding company two subsidiaries tax efficiency,"Group structure planning, mid difficulty"
Incorporation and Structure,What Are the Ongoing Filing Requirements for a Dormant Limited Company in the UK?,dormant company filing requirements,"Compliance for inactive entities, low difficulty"
Exit and Capital Gains,How to Calculate BADR Relief When You Sell Shares Over Multiple Tax Years,badr relief multiple tax years,"Partial disposal timing, mid difficulty"
Exit and Capital Gains,What Happens to Your CGT Bill if You Gift Shares to a Family Member Before Selling Your Company,gift shares family member cgt,"Holdover relief interaction, mid difficulty"
Exit and Capital Gains,Can a Director Claim BADR if They Sold Their Company After Leaving the Role 2 Years Ago,badr claim after leaving director role,"Qualifying period condition, mid difficulty"
Exit and Capital Gains,How to Use Entrepreneurs' Relief (BADR) When Your Company Has Accumulated Cash Reserves,badr cash reserves company sale,"Distribution vs capital gain issue, mid difficulty"
Exit and Capital Gains,What is the Tax Treatment of Earn-Out Payments When Selling a Limited Company,earn out payments tax treatment,"Deferred consideration rules, mid difficulty"
Exit and Capital Gains,How to Structure a Share Buyback to Minimise CGT for Remaining Directors,share buyback cgt directors,"Exit planning for partial buyouts, mid difficulty"
Bookkeeping and Compliance,How to Prepare a Trial Balance for a Limited Company Filing Abbreviated Accounts,trial balance abbreviated accounts,"Filing requirement nuance, mid difficulty"
Bookkeeping and Compliance,What is the Penalty for Filing a Confirmation Statement Late With Companies House?,confirmation statement late penalty,"Specific penalty amount query, low difficulty"
Bookkeeping and Compliance,Can a Director Sign Off Company Accounts if They Are Not an ICAEW Member?,director sign off accounts non accountant,"Legal vs professional qualification, low difficulty"
Bookkeeping and Compliance,How to Correct an Error on a Previously Filed Confirmation Statement,correct confirmation statement error,"Administrative correction process, low difficulty"
Bookkeeping and Compliance,What Bookkeeping Records Must a Limited Company Keep for HMRC for 6 Years?,bookkeeping records limited company 6 years,"Retention period rule, low difficulty"
Bookkeeping and Compliance,How to Reconcile Your Director's Loan Account Before Year End to Avoid S455 Tax,reconcile director loan account year end,"Year-end planning for S455, mid difficulty"
Director Pay and Dividends,Can a Director Pay Themselves a Variable Monthly Salary to Manage NI Contributions?,variable director salary ni management,"NI planning strategy, mid difficulty"
Director Pay and Dividends,How to Declare a Dividend When the Company Has Made a Loss in the Current Year,dividend declared from loss,"Legality and distributable profits, mid difficulty"
Director Pay and Dividends,What is the Most Tax Efficient Salary and Dividend Split for a Director in 2025/26?,tax efficient salary dividend split 2025 26,"Annual optimisation query, mid difficulty"
Director Pay and Dividends,Can a Director Pay a Dividend to Their Spouse Who is Not an Employee or Director,dividend to spouse non director,"Shareholder class and settlement rules, mid difficulty"
Director Pay and Dividends,How to Record a Dividend Voucher in Your Company Books for HMRC Compliance,dividend voucher record keeping,"Documentation requirement, low difficulty"
Director Pay and Dividends,What Happens if a Director Takes a Dividend Before the Board Meeting Minutes Are Signed,dividend before board minutes signed,"Legal formality timing, low difficulty"
Director Pay and Dividends,Can a Director Pay Themselves a Bonus Instead of a Dividend to Avoid Dividend Tax?,bonus vs dividend director tax,"Remuneration strategy comparison, mid difficulty"
