topic,category,primary_keyword,current_priority,current_tier,user_intent,sv,kd,competition,score,new_priority,action,used,id
Flat Rate VAT Vs Standard VAT,VAT and Making Tax Digital,flat rate vat vs standard vat,6,supporting,informational,,,,,,already-published,True,9d3e365a-4c8a-4169-9128-a92e4c3018a1
VAT Registration Help,VAT and Making Tax Digital,vat registration help,6,cluster,transactional,,,,,,already-published,True,64318c46-c2f7-4ed6-a0fa-00bbfe3f4178
HMRC Penalties Self Assessment,Sole Trader and Self Employment,hmrc penalties self assessment,6,cluster,informational,,,,,,already-published,True,652c0129-4e9b-4b1e-9d79-ccc2f21c4deb
Payroll For One Employee UK,Payroll and PAYE,payroll for one employee uk,6,cluster,informational,,,,,,already-published,True,4bbddf14-43f0-474f-bdae-522460122283
How To Set Up PAYE For New Business,Payroll and PAYE,how to set up paye for new business,6,cluster,informational,,,,,,already-published,True,108bb804-c491-4783-b185-03f19f2936aa
Reverse Charge VAT Construction,VAT and Making Tax Digital,reverse charge vat construction,5,supporting,informational,,,,,,already-published,True,870a044e-077d-4220-944f-9d8ac2310083
Trivial Benefits Rules UK,Director Pay and Dividends,trivial benefits rules uk,5,supporting,informational,,,,,,already-published,True,119cf402-bc75-466a-8c32-31ce3954d3f8
P11D Benefits In Kind Explained,Payroll and PAYE,p11d benefits in kind explained,5,supporting,informational,,,,,,already-published,True,18405172-5d30-458f-8d64-8893e28c605f
R&D Tax Credits Explained,R&D Tax Credits,r&d tax credits explained,9,pillar,informational,,,,,,already-published,True,0c9c19fb-8470-4087-a33d-992483fc5325
IR35 Explained,Limited Company Tax,ir35 explained,9,pillar,informational,,,,,,already-published,True,c0ab0bee-ba53-4f37-9014-d5ac2c105a31
Self Assessment Tax Return Guide,Sole Trader and Self Employment,self assessment tax return guide,9,pillar,informational,,,,,,already-published,True,5cf36763-f745-4358-9c4b-4bec2609089d
Sole Trader Vs Limited Company Tax Calculator,Incorporation and Structure,sole trader vs limited company tax calculator,8,cluster,informational,,,,,,already-published,True,2ae50d5b-bfaa-4c35-a13a-b7052e5d8826
Business Asset Disposal Relief Explained,Exit and Capital Gains,business asset disposal relief explained,8,pillar,informational,,,,,,already-published,True,dc76f8af-dbae-43f6-b588-b78b5adb6f23
How To Register As Self Employed UK,Sole Trader and Self Employment,how to register as self employed uk,8,cluster,informational,,,,,,already-published,True,f5c2626a-7884-49fc-9c12-6d58ec9580ca
Dividend Tax Rates 2025 26,Director Pay and Dividends,dividend tax rates 2025 26,8,cluster,informational,,,,,,already-published,True,8503f3ea-e138-4818-9a66-371bc6b13693
Directors Loan Account Explained,Director Pay and Dividends,directors loan account explained,7,cluster,informational,,,,,,already-published,True,08fc26ea-f3e7-497e-970a-005ef08d7086
VAT Flat Rate Scheme Explained,VAT and Making Tax Digital,vat flat rate scheme explained,7,cluster,informational,,,,,,already-published,True,fafe27fb-0cce-4d76-8e2c-dd498077f579
R&D Tax Credit Eligibility Checklist,R&D Tax Credits,r&d tax credit eligibility checklist,7,cluster,informational,,,,,,already-published,True,c21c127d-ac2f-45a6-8937-296a31b4efe6
How Much Corporation Tax Do I Pay,Corporation Tax,how much corporation tax do i pay,7,cluster,informational,,,,,,already-published,True,aa4dad21-4ca3-4d96-b8dd-2e423a71c6d4
Capital Gains Tax Rates 2025 26,Exit and Capital Gains,capital gains tax rates 2025 26,7,cluster,informational,,,,,,already-published,True,8434760f-3cea-4e20-88c8-b756cb318a31
VAT Threshold 2025 26,VAT and Making Tax Digital,vat threshold 2025 26,7,cluster,informational,,,,,,already-published,True,dcfdec9d-f2f8-4b10-aaee-5b4b8e72ca3b
How To File Company Accounts UK,Bookkeeping and Compliance,how to file company accounts uk,7,cluster,informational,,,,,,already-published,True,5943733b-b22f-4e83-9943-c839dfa27826
Can I Claim Home Office Expenses Limited Company,Limited Company Tax,can i claim home office expenses limited company,7,cluster,informational,,,,,,already-published,True,0edce960-a54c-4d84-83b2-9620bab092e2
Allowable Expenses Sole Trader,Sole Trader and Self Employment,allowable expenses sole trader,7,cluster,informational,,,,,,already-published,True,b4818df6-c07b-4af7-acf5-d168aec4ad14
Director Payroll Service,Director Pay and Dividends,director payroll service,6,cluster,transactional,,,,,,already-published,True,809d1cd3-8ea3-4e4a-bd40-e18793e5bbe5
Cash Basis Vs Accruals Sole Trader,Sole Trader and Self Employment,cash basis vs accruals sole trader,5,supporting,informational,,,,,,already-published,True,2a813b8c-2c6b-4b35-9d1e-66e04f0807f7
Associated Companies Corporation Tax,Corporation Tax,associated companies corporation tax,5,supporting,informational,,,,,,already-published,True,6e29c8c0-b335-43bb-b632-6d577a406275
Creative Industry Tax Reliefs UK,R&D Tax Credits,creative industry tax reliefs uk,5,supporting,informational,,,,,,already-published,True,96b65049-4e29-4805-b567-643fd1b1673a
Dividend Tax Rates 2025 26 And The Interaction With The Personal Savings Allowance,Director Pay and Dividends,dividend tax personal savings allowance 2025 26,7,cluster,informational,,,,,,already-published,True,04e89d6f-6ebd-4eca-be3a-d95ff9d326f6
Corporation Tax Marginal Relief,Corporation Tax,corporation tax marginal relief,6,supporting,informational,,,,,,already-published,True,f963cc24-33cc-444c-ac6f-0e7bc9352e51
Family Investment Company UK,Incorporation and Structure,family investment company uk,6,supporting,informational,,,,,,already-published,True,77a1ccd8-3563-48c3-b439-2de1ef6ed3df
R&D Tax Credits For AI Startups,R&D Tax Credits,r&d tax credits for ai startups,6,supporting,informational,,,,,,already-published,True,c7d87b60-46da-4ba5-981e-ce98b16aa887
How To Structure A Share Buyback To Minimise CGT For Remaining Directors,Exit and Capital Gains,share buyback cgt directors,6,supporting,informational,,,,,,already-published,True,f820b597-c3bc-4923-bc32-a8b9c1bd56e5
Dividend Tax Rates 2025 26 For A Director Who Takes Dividends Quarterly,Director Pay and Dividends,quarterly dividend tax rates 2025 26 director,7,cluster,informational,,,,,,already-published,True,192cac05-825c-4393-bc68-164145661f62
How A Limited Company Accountant Handles A Late Filing Penalty Appeal,Limited Company Tax,limited company late filing penalty appeal,7,cluster,informational,,,,,,already-published,True,13556e29-72e8-4489-a07a-2fb1f7ff5b49
Fixed Fee Accountant UK For A Business That Needs Year-end Accounts Only,Bookkeeping and Compliance,year end accounts only fixed fee,7,cluster,informational,,,,,,already-published,True,f61bf9b4-d40c-48fb-9608-fe92f5c17a19
Fixed Fee Accountant UK vs Hourly Billing For A Business With Erratic Workload,Bookkeeping and Compliance,fixed fee accountant erratic workload,7,cluster,informational,,,,,,already-published,True,c0529283-63e1-439f-99ea-548c6ed227b2
Online Accountant UK vs Local Firm For A Brick And Mortar Business,Bookkeeping and Compliance,online accountant vs local firm,7,cluster,informational,,,,,,already-published,True,043ea699-de1d-426d-a102-ef01776b6474
R&D Tax Credits For Software Companies,R&D Tax Credits,r&d tax credits for software companies,7,supporting,informational,,,,,,already-published,True,8163cafc-00b9-46a6-be1c-6598c6479c1a
Accountant For Property,Bookkeeping and Compliance,accountant for property,7,cluster,informational,,,,,,already-published,True,4b2bcdac-457e-4615-8590-d25033934c1b
Can I Claim Home Insurance On My Taxes,Bookkeeping and Compliance,can i claim home insurance on my taxes,7,cluster,informational,,,,,,already-published,True,fe3acf9c-319e-4b3f-91b8-b74d5b6cd348
Property Tax Advisor,Bookkeeping and Compliance,property tax advisor,7,cluster,informational,,,,,,already-published,True,476db038-e720-4041-a3d6-e1e27c3d1ee2
What Does A Small Business Accountant Actually Do Month To Month,Bookkeeping and Compliance,small business accountant,7,cluster,informational,,,,,,already-published,True,5fbbd63b-bbb6-43a6-8e7a-c7802eea5899
How Corporation Tax Works For A Company That Makes A Loss In Year One,Corporation Tax,how does corporation tax work,7,cluster,informational,,,,,,already-published,True,89655308-a994-477c-839d-b6ae4b615556
Corporation Tax And Dividend Tax,Director Pay and Dividends,corporation tax and dividend tax,7,cluster,informational,,,,,,already-published,True,14b38bae-25c2-4745-ba91-178c71235f10
Registering A Limited Company UK With A Non-uk Resident Director,Incorporation and Structure,how to register a limited company uk,7,cluster,informational,,,,,,already-published,True,9537fd67-835c-4cef-8426-c02560bac441
Limited Company vs Sole Trader For A Side Hustle,Incorporation and Structure,limited company vs sole trader,7,cluster,informational,,,,,,already-published,True,4b371438-533b-4fdc-af55-857c982d127b
Contractor Accountant vs High Street Accountant For It Contractors,Limited Company Tax,contractor accountant uk,7,cluster,informational,,,,,,already-published,True,795cafa0-df89-4f12-af24-dfd1d0df4aef
Can I Reduce My Corporation Tax Bill By Paying A Rent Charge To A Connected Company?,Corporation Tax,rent charge connected company corporation tax,6,supporting,informational,,,,,,already-published,True,f9b10186-b9fd-4c51-b489-cf5e7937a917
Accountant For Startup That Is Pre-revenue And Has Investor Funding,Incorporation and Structure,pre-revenue startup accountant with funding,7,cluster,informational,,,,,,already-published,True,e0267eb1-87c7-46f2-aad8-f708d655e09a
How To Claim R&D Tax Credits When Your Project Failed Commercially,R&D Tax Credits,r&d tax credits failed project claim,7,cluster,informational,,,,,,already-published,True,1b1e7dd6-da93-4049-8706-13d2af949746
How To Pay Yourself From A Limited Company When You Have A Separate PAYE Job,Director Pay and Dividends,pay yourself limited company with job,7,cluster,informational,,,,,,already-published,True,8757752c-0956-4846-9015-d483276f3721
UK CGT Rates On Residential Property 2026,Exit and Capital Gains,uk cgt rates on residential property 2026,7,cluster,informational,,,,,,already-published,True,a4b6ce52-49c0-4610-8b75-4d282950058e
UK CGT Rates 2026 Residential Property,Exit and Capital Gains,uk cgt rates 2026 residential property,7,cluster,informational,,,,,,already-published,True,c0bf808d-0bb6-46b9-8ecb-2208306e3924
HMRC CGT Reporting Requirements 2026,Exit and Capital Gains,hmrc cgt reporting requirements 2026,7,cluster,informational,,,,,,already-published,True,162b75af-7265-48f8-a376-76eb4e2542ab
Capital Gains Tax On Property UK,Exit and Capital Gains,capital gains tax on property uk,7,cluster,informational,,,,,,already-published,True,118208d1-2e0e-4034-9bcc-5297c07b0620
Capital Gains Tax On Property,Exit and Capital Gains,capital gains tax on property,7,cluster,informational,,,,,,already-published,True,19083a33-dc64-4ff1-a0d4-d158560ecf7c
Capital Gains Tax And Property,Exit and Capital Gains,capital gains tax and property,7,cluster,informational,,,,,,already-published,True,1f3ce2fe-f63c-4164-b86b-f6fed1081452
Business Asset Disposal Relief Explained For A Company With A Dormant Period,Exit and Capital Gains,business asset disposal relief explained,7,cluster,informational,,,,,,already-published,True,f0317b0a-34e3-49d6-976d-4b9ff22c04f3
UK Capital Gains Tax Rates 2026 Residential Property,Exit and Capital Gains,uk capital gains tax rates 2026 residential property,7,cluster,informational,,,,,,already-published,True,b6f95108-ad48-4ebe-b5f7-68becfd4c028
UK Capital Gains Tax Rates Residential Property 2026,Exit and Capital Gains,uk capital gains tax rates residential property 2026,7,cluster,informational,,,,,,already-published,True,7c2890bc-fdcb-4b6f-bbe1-f6074bb8c05c
UK Capital Gains Tax Rates On Residential Property 2026,Exit and Capital Gains,uk capital gains tax rates on residential property 2026,7,cluster,informational,,,,,,already-published,True,89b13339-6b35-4258-9307-bf21d0718dcf
UK Capital Gains Tax Residential Property Rates 2026,Exit and Capital Gains,uk capital gains tax residential property rates 2026,7,cluster,informational,,,,,,already-published,True,0ce12336-ae8d-4fc7-aaaa-36f1fd632c69
UK Residential Property Capital Gains Tax Rates 2025 2026 18% 24%,Exit and Capital Gains,uk residential property capital gains tax rates 2025 2026 18% 24%,7,cluster,informational,,,,,,already-published,True,db2048e2-0c6c-410c-b2d6-80963a1d805e
How To File A Confirmation Statement,Bookkeeping and Compliance,how to file a confirmation statement,6,cluster,informational,,,,,,already-published,True,92b83a0f-ed86-4ca8-83e5-9e7a2b4d3996
Members Voluntary Liquidation Explained,Exit and Capital Gains,members voluntary liquidation explained,6,cluster,informational,,,,,,already-published,True,9700a11b-02d7-497a-b551-d0b465c3b4a6
R&D Tax Credit Specialist For A Manufacturing Company Doing Incremental Improvement,R&D Tax Credits,manufacturing incremental improvement r&d specialist,7,cluster,informational,,,,,,already-published,True,0eb488f5-5369-4e80-8811-73b1853e5101
R&D Tax Credits Explained For A Construction Company Developing New Materials,R&D Tax Credits,construction r&d tax credits materials,7,cluster,informational,,,,,,already-published,True,996ef3ee-c5f9-425e-b15d-e155f8968a0c
IR35 Explained For A Contractor Who Also Has A Separate Limited Company,Limited Company Tax,ir35 contractor with limited company,7,cluster,informational,,,,,,already-published,True,8fd5fd40-8a73-4aba-b77f-d49605888655
Self Assessment Tax Return Guide For Someone Who Stopped Trading Mid-year,Sole Trader and Self Employment,stopped trading mid year self assessment,7,cluster,informational,,,,,,already-published,True,803c5dc4-f2d8-484e-9ba5-4f33bee4a3a7
How To Register As Self Employed UK While Keeping Your Full Time Job,Sole Trader and Self Employment,register self employed while working,7,cluster,informational,,,,,,already-published,True,8fa42cf5-2346-46d2-958a-db59f2fecf44
How To Claim R&D Tax Credits When You Used A Subcontractor,R&D Tax Credits,r&d tax credits subcontractor claim,7,cluster,informational,,,,,,already-published,True,bf69f255-0f04-455a-8428-fb6024c89c5a
MTD ITSA April 2026 Deadline For Partnerships With Mixed Members,VAT and Making Tax Digital,partnership mixed members mtd itsa deadline,7,cluster,informational,,,,,,already-published,True,8395f704-6623-44e2-8d47-54ab4b0a84ff
IR35 Explained For A Contractor Who Works Through An Umbrella Company,Limited Company Tax,ir35 explained,7,cluster,informational,,,,,,already-published,True,04b084b2-3fc3-4a43-9713-87d3ce7cc650
Limited Company vs Sole Trader For A Freelancer Who Works Through Agencies,Limited Company Tax,limited company vs sole trader,7,cluster,informational,,,,,,already-published,True,7646694d-4f7c-4534-9c01-7f8022e6df29
When A Limited Company Accountant Is Not Worth The Fee,Limited Company Tax,limited company accountant,7,cluster,informational,,,,,,already-published,True,6ecae606-cd69-45c7-a809-2a98f352bc52
R&D Tax Credits Explained For A One-person Software Company,R&D Tax Credits,r&d tax credits explained,7,cluster,informational,,,,,,already-published,True,16c13c49-75a0-481d-9b7d-8389b2e4f118
When An R&D Tax Credit Specialist Refuses Your Claim,R&D Tax Credits,r&d tax credit specialist,7,cluster,informational,,,,,,already-published,True,b79df41d-8d18-44f8-a002-b3d2b39bae6c
Making Tax Digital For Income Tax And Rental Income Combined,VAT and Making Tax Digital,making tax digital for income tax,7,cluster,informational,,,,,,already-published,True,2c5a19aa-77f6-432a-b943-a7bda7ae6b46
Self Assessment Tax Return Guide For A Sole Trader With Multiple Trades,Sole Trader and Self Employment,self assessment tax return guide,7,cluster,informational,,,,,,already-published,True,ec2f0f28-f388-4bf3-924a-b3fe6bb5a52b
MTD For Property Income,VAT and Making Tax Digital,mtd for property income,7,cluster,informational,,,,,,already-published,True,ed04d097-a10d-4a38-bf51-387ebf93ab1a
How To Claim Use Of Home As Office,Sole Trader and Self Employment,how to claim use of home as office,5,supporting,informational,,,,,,already-published,True,41acdffb-01e1-4ffb-b0d6-319be56d8519
When To Register For VAT As A Seasonal Business,VAT and Making Tax Digital,when to register for vat,7,cluster,informational,,,,,,already-published,True,61d88fc0-832d-4a4a-ae07-5a5e8e009ddb
What Is The Penalty For Filing A Confirmation Statement Late With Companies House?,Bookkeeping and Compliance,confirmation statement late penalty,6,supporting,informational,,,,,,already-published,True,a48f89f3-3a0f-4b53-aa76-ba0a224c3282
What Is The Deadline For Filing Corporation Tax If My Company's Year End Is 31 March 2026?,Corporation Tax,corporation tax deadline 31 march 2026,6,supporting,informational,,,,,,already-published,True,6b075b87-d834-43ea-b83c-a330ac2d5b7c
What Happens If My Company's Corporation Tax Return Is Incorrect After HMRC Opens An Enquiry?,Corporation Tax,hmrc enquiry incorrect corporation tax return,6,supporting,informational,,,,,,already-published,True,7c56abbc-7a6d-4ecd-b524-1925e0322e1e
How To Claim Corporation Tax Relief On A Capital Loss From Selling A Business Asset,Corporation Tax,corporation tax capital loss relief,6,supporting,informational,,,,,,already-published,True,40500a2e-663c-4936-8ae6-a9b3e2e96dff
Can My Company Claim Enhanced Capital Allowances For Electric Vehicle Charging Points Installed In 2025/26?,Corporation Tax,enhanced capital allowances ev charging points,6,supporting,informational,,,,,,already-published,True,d1ca1dfd-59df-4772-add4-8bbdba0f1a15
Can A Director Sign Off Company Accounts If They Are Not An Icaew Member?,Bookkeeping and Compliance,director sign off accounts non accountant,6,supporting,informational,,,,,,already-published,True,2a8daad9-258e-4aea-b753-0c0592f73292
How To Correct An Error On A Previously Filed Confirmation Statement,Bookkeeping and Compliance,correct confirmation statement error,6,supporting,informational,,,,,,already-published,True,cea9ee1f-4c81-44b6-87d4-47a803d8eb71
What Bookkeeping Records Must A Limited Company Keep For HMRC For 6 Years?,Bookkeeping and Compliance,bookkeeping records limited company 6 years,6,supporting,informational,,,,,,already-published,True,e1e61c69-130d-4171-b4b9-4c3543cc4d33
How To Prepare A Trial Balance For A Limited Company Filing Abbreviated Accounts,Bookkeeping and Compliance,trial balance abbreviated accounts,6,supporting,informational,,,,,,already-published,True,9aea09a7-6735-4710-b5ca-1210b20b90cb
How To Reconcile Your Director's Loan Account Before Year End To Avoid S455 Tax,Bookkeeping and Compliance,reconcile director loan account year end,6,supporting,informational,,,,,,already-published,True,5b859b3a-41a4-45b1-906a-5bcd765fb5ad
Can A Director Pay Themselves A Bonus Instead Of A Dividend To Avoid Dividend Tax?,Director Pay and Dividends,bonus vs dividend director tax,6,supporting,informational,,,,,,already-published,True,eb447f11-0d6d-4364-bf9c-2eefa13c3bdd
Can A Director Pay A Dividend To Their Spouse Who Is Not An Employee Or Director,Director Pay and Dividends,dividend to spouse non director,6,supporting,informational,,,,,,already-published,True,4e1ded16-abd1-41d2-b903-d8837b4c6474
How To Declare A Dividend When The Company Has Made A Loss In The Current Year,Director Pay and Dividends,dividend declared from loss,6,supporting,informational,,,,,,already-published,True,ec6d9fa6-60f9-475e-a544-8519eabb622d
Can A Director Pay Themselves A Variable Monthly Salary To Manage Ni Contributions?,Director Pay and Dividends,variable director salary ni management,6,supporting,informational,,,,,,already-published,True,723fd6d3-bbcc-4e8b-8b59-a0aac767a481
How To Record A Dividend Voucher In Your Company Books For HMRC Compliance,Director Pay and Dividends,dividend voucher record keeping,6,supporting,informational,,,,,,already-published,True,2e53fc9c-c20d-42da-ba44-f971a536a797
Can A Director Claim BADR If They Sold Their Company After Leaving The Role 2 Years Ago,Exit and Capital Gains,badr claim after leaving director role,6,supporting,informational,,,,,,already-published,True,672bb0bc-4fea-4ce8-9888-80a5046c45c0
What Is The Most Tax Efficient Salary And Dividend Split For A Director In 2025/26?,Director Pay and Dividends,tax efficient salary dividend split 2025 26,6,supporting,informational,,,,,,already-published,True,e41cb5eb-b45d-4e40-b69d-ad89a8c88d9d
How To Calculate BADR Relief When You Sell Shares Over Multiple Tax Years,Exit and Capital Gains,badr relief multiple tax years,6,supporting,informational,,,,,,already-published,True,1bf7b26a-ee3c-475d-b0c0-1840579895a5
Company Secretarial Services UK,Bookkeeping and Compliance,company secretarial services uk,4,supporting,transactional,,,,,,already-published,True,a00108a8-6cb7-4b64-979c-760cc452b659
How To Use Entrepreneurs' Relief (badr) When Your Company Has Accumulated Cash Reserves,Exit and Capital Gains,badr cash reserves company sale,6,supporting,informational,,,,,,already-published,True,123ba08a-b7a0-48f5-9fed-9169fb530277
What Happens To Your CGT Bill If You Gift Shares To A Family Member Before Selling Your Company,Exit and Capital Gains,gift shares family member cgt,6,supporting,informational,,,,,,already-published,True,8c8bf11d-59bf-4022-b789-fcce75a044d8
