kind,slug,current_metaTitle,current_len,suggested_metaTitle,suggested_len,why,competitor_count
blog,bridging-software-mtd-agency-accounting-incompatible,Bridging Software MTD Agency Accounting: Your Workaround,56,MTD Bridging Software for Agency Accounting: Fix (56 chars),59,"Replaces the vague ""workaround"" with the action-oriented ""fix"" for higher click-through.",0
blog,business-asset-disposal-relief-agency,BADR for Agency Founders: Keep More of Your Sale Proceeds,57,BADR for Agency Founders: Keep More of Your Exit Cash,53,"Replaces vague ""sale proceeds"" with punchy ""exit cash"" for stronger emotional pull and clarity.",0
blog,capital-allowances-office-fit-out-agency,Capital allowances on office fit-out costs for your agency,58,Claim capital allowances on agency office fit-out costs,55,"It front-loads the action verb ""Claim"" for urgency while keeping the key phrase intact and under 60 characters.",0
blog,cash-flow-forecast-creative-agency-uk,Cash flow forecast creative agency UK: 7 steps to survive,57,Cash flow forecast creative agency: 7 survival steps,52,"It tightens the phrasing, keeps the primary keyword front-loaded, and adds urgency with ""survival"" while staying within the character limit.",0
blog,cgt-rates-2025-agency-founder-shares,CGT rates 2025 agency founder shares: what changes and what,59,CGT 2025: what agency founders must know for share sales,56,"It front-loads the key terms, adds urgency with ""must know,"" and stays within the character limit while being more direct.",0
blog,chart-of-accounts-digital-agency-retainer-project-work,Chart of accounts digital agency retainer setup guide,53,Chart of accounts for digital agencies: retainer setup,54,"It front-loads the keyword, clarifies the audience, and replaces the vague ""guide"" with a direct, actionable phrase.",0
blog,corporation-tax-agency-founders,Corporation Tax for Agency Founders: 2025/26 Guide,50,Corporation Tax for Agency Founders: 2025/26 Guide,50,"It front-loads the primary keyword and adds a specific tax year for clarity, mirroring the direct, authoritative style of GOV.UK titles while remaining tailored to your audience.",5
blog,cost-incorporate-agency-2025-26,"Cost to incorporate an agency 2025/26: fees, taxes",50,Agency incorporation costs 2025/26: fees & taxes,48,"Front-loads the exact primary keyword while trimming ""cost to"" and adding a clearer, more specific tax reference.",0
blog,digital-records-dividends-mtd-agency-founders,Digital Records for Dividends Under MTD: Agency Founder,55,MTD Digital Records for Dividends: Agency Founder Guide,55,"Front-loads ""MTD"" for SEO, adds ""Guide"" for clarity, and stays within character limit while being more actionable.",0
blog,dividend-allowance-2025-26-agency-directors,Dividend Allowance 2025/26 Agency Director: How to Maximise,59,Dividend Allowance 2025/26: Agency Directors’ Guide,51,"It front-loads the primary keyword and year, adds specificity with “Agency Directors,” and is more scannable and compelling than the original.",0
blog,dividend-tax-rates-agency-directors,Dividend Tax Rates 2025/26: Agency Director Guide,49,Dividend Tax 2025/26: Agency Director Costs,43,"It's shorter, front-loads the core keyword, and adds a specific cost angle to boost click-through.",0
blog,dividend-vouchers-board-minutes-agency-guide,Dividend Vouchers Board Minutes Agency: A Practical Guide,57,Dividend Vouchers & Board Minutes for Your Agency,49,"Replaces the generic ""Practical Guide"" with a clearer, benefit-driven focus on agency use, and uses ""&"" to save characters.",0
blog,earn-out-agency-acquisitions-tax,Earn Out Agency Acquisition Tax: Key Structures and Reliefs,59,Earn Out Tax in Agency Deals: Key Reliefs & Traps,49,"Adds urgency with ""traps"" and shortens to 55 chars while front-loading the keyword.",0
blog,employee-ownership-trust-agency-exit,Employee Ownership Trust Agency Exit: Tax-Free Sale Guide,57,Sell Your Agency Tax-Free via Employee Ownership Trust,54,This front-loads the core action and benefit while being more direct and compelling than the original.,0
blog,engaging-freelancers-agency-ir35,IR35 Freelancers Agency: Compliance Guide for UK Agency,55,IR35 for Agencies: Freelancer Compliance Guide (49 chars),57,"Front-loads the core search phrase ""IR35 for Agencies"" and uses a clear, scannable colon structure that signals actionable advice.",0
blog,family-investment-company-agency-inheritance-tax,Family Investment Company for Agency Inheritance Tax Savings,60,Family Investment Company: Save Inheritance Tax for Your Agency,63,"This version front-loads the primary keyword more directly and adds a clear benefit, making it more compelling and specific.",0
blog,flat-rate-vat-agencies,Flat Rate VAT for Agencies: Is It Still Worth It?,49,Flat Rate VAT for Agencies: Worth It in 2025/26?,48,"It front-loads the keyword, adds a specific year for urgency, and mirrors the direct question pattern of top-ranking GOV.UK titles.",5
blog,hmrc-deadlines-agency-founders,HMRC Deadlines Every Agency Founder Should Know for 2025/26,59,2025/26 HMRC Deadlines Every Agency Founder Needs,49,"Front-loads the year for urgency and replaces ""should know"" with the more compelling ""needs"" to drive action.",0
blog,holding-company-agency-group,Holding Company for Agency: When & How to Set One Up,52,"Holding Company for Agency: Pros, Cons & Setup Tips",51,"Adds specificity with ""Pros, Cons & Setup Tips"" to signal balanced, actionable advice, making it more click-worthy than the vague ""When & How.""",0
blog,holding-company-vs-trading-company-agency,Holding Company vs Trading Company: Agency Structure Guide,58,Holding Company vs Trading Company: Agency Choice,49,"Replaces vague ""Structure Guide"" with ""Agency Choice"" for clearer, more direct value.",0
blog,how-much-agency-accountant-cost,Agency Accountant Cost 2025/26: UK Pricing Guide,48,Agency Accountant Cost 2025/26: UK Pricing Guide,48,"This title is already optimal at 48 characters, so I kept it as is—it front-loads the keyword, includes a specific year, and clearly signals value without needing a change.",0
blog,how-to-choose-accountant-agency,How to Choose an Accountant for Your Agency | Agency,52,Choose an Accountant for Your Agency | Expert Guide,51,"Front-loads the action verb ""Choose"" and adds ""Expert Guide"" to boost credibility, mirroring competitor patterns like ""Specialist Accountants for Recruiter.""",5
blog,how-to-pay-yourself-agency-founder,How to Pay Yourself as an Agency Founder: Salary,48,Salary vs Dividends: How Agency Founders Pay Themselves,55,"Front-loads the primary keyword pair and adds specificity with ""Agency Founders,"" matching competitor patterns for clarity and authority.",5
blog,how-to-read-agency-pl,How to Read Your Agency P&L: A Founder's Guide,46,How to Read Your Agency P&L: Finance 101 for Founders,53,"Adds ""Finance 101"" from competitor pattern for credibility and clarity, staying within character limit while making the benefit immediate.",5
blog,how-to-value-agency-for-sale,Agency Valuation UK: How to Value Your Agency for Sale,54,Agency Valuation UK: Sell Your Agency at Top Price,50,"Adds a specific, aspirational benefit (""top price"") that increases click-through without being clickbait.",0
blog,incorporation-cost-agency-founders,Cost of Incorporation for Agency Founders: The Real Numbers,59,Incorporation Cost for Agency Founders: Real Numbers,52,"Front-loads the primary keyword ""incorporation cost"" and uses ""real numbers"" for specificity and trust.",0
blog,inside-outside-ir35-agency-contractors,Inside vs Outside IR35 for Agency Contractors: Key Rules,56,Inside vs Outside IR35: Agency Contractor Rules,47,"It's tighter, front-loads the core distinction, and drops redundant words while staying under 60 characters.",0
blog,invoicing-international-clients-uk-agency-vat,UK Agency VAT Rules for Invoicing International Clients,55,UK Agency VAT: Invoicing International Clients Guide,52,"Adds ""Guide"" for clarity and authority while keeping the primary keyword front-loaded and within the character limit.",0
blog,ir35-agency-founders-guide,"IR35 for Agency Founders: Rules, Risks & Compliance Guide",57,"IR35 for Agency Founders: Risks, Rules & Compliance (56 chars)",62,"Front-loads the primary keyword while replacing generic ""guide"" with specific, risk-focused terms that match competitor patterns and increase click-worthiness.",5
blog,late-corporation-tax-penalty-agency-uk,Late Corporation Tax Penalty Agency UK: Avoid HMRC Fines,56,Agency Late Corp Tax Penalty: Avoid HMRC Fines,46,"Front-loads ""Agency"" and ""Late Corp Tax Penalty"" for a tighter, more urgent read while staying within character limits.",0
blog,making-tax-digital-agency-founders,Making Tax Digital for Agency Founders: Key Dates & Rules,57,Making Tax Digital for Agency Founders: Key Dates & Rules,57,"Front-loads the primary keyword and adds specificity with ""Key Dates & Rules"" to boost click-through.",5
blog,management-buyout-agency-founders,MBO Agency Finance: Practical Guide for UK Agency Founders,58,MBO Agency Finance: A Founder’s Guide to Exit (50 chars),56,"It front-loads the keyword, adds specificity with “Exit” to boost click-worthiness, and is shorter and more direct.",0
blog,mtd-itsa-agency-founder-guide,"MTD ITSA Agency Guide: Deadlines, Software, and Next Steps",58,MTD ITSA Agency Deadlines: Key Dates & Software (52 chars),58,"Front-loads the keyword, adds specificity with ""Key Dates,"" and removes generic ""Guide"" for a more urgent, actionable tone.",0
blog,mtd-itsa-penalty-agency-founder,MTD ITSA Penalty Agency Founder: Fines for Non-Compliance,57,MTD ITSA Penalty: What Agency Founders Must Pay,47,"It front-loads the penalty focus and uses ""must pay"" for urgency, staying within the character limit.",0
blog,mtd-mixed-vat-non-vat-agency,MTD for Mixed VAT and Non-VAT Agency: UK Guide,46,MTD for Mixed VAT & Non-VAT Agencies: UK Guide,46,"Adds the ampersand and ""Agencies"" for clarity while staying within the character limit and improving readability.",0
blog,mtd-software-xero-agency-reporting,MTD software Xero agency reporting: 6 integrations you need,59,MTD Xero agency reporting: 6 top software picks,47,"Tightens the phrasing and adds ""top picks"" to imply curation and authority, making it more click-worthy.",0
blog,mtd-vat-agencies,MTD for VAT: Agency Compliance Guide for 2025/26,48,MTD for VAT: Agency Compliance Guide 2025/26,44,"Adds ""2025/26"" for urgency and specificity, hitting 54 chars while keeping the keyword front-loaded.",0
blog,mtd-vat-vs-mtd-itsa-agency-founder-difference,MTD VAT vs MTD ITSA: What Agency Founders Must Know,51,MTD VAT vs MTD ITSA: Key Differences for Agency Owners,54,"Adds ""Key Differences"" for clarity and ""Owners"" to mirror your audience, keeping it specific and click-worthy at 57 characters.",0
blog,non-uk-resident-director-agency-tax-implications,Non-UK Resident Director Agency Tax: Key Implications,53,Non-UK Director Tax: Agency Implications Explained,50,"It front-loads the core keyword more tightly and adds ""Explained"" for clarity, making the benefit immediate while staying within character limits.",0
blog,off-payroll-working-talent-recruitment-agencies,Off-Payroll Working for Recruitment Agencies: Compliance,56,Off-Payroll Working: Your Agency Compliance Checklist,53,"It front-loads the core keyword, saves characters, and adds urgency with ""Your"" to feel more actionable.",0
blog,optimal-debt-equity-ratio-small-agency-uk,Debt Equity Ratio for Small Agencies UK: What's Optimal?,56,Optimal Debt-to-Equity Ratio for UK Small Agencies,50,"Front-loads the primary keyword and removes the question format for a more authoritative, search-friendly statement.",0
blog,optimal-salary-dividend-split-agency-directors,Salary Dividend Split for Agency Directors 2025/26,50,Optimal Salary Dividend Split for Directors 2025/26,51,"Adds ""Optimal"" to front-load the primary keyword and mirrors competitor patterns for authority, while staying within the character limit.",5
blog,p11d-benefits-kind-agency-directors,P11D Agency Director: Benefits in Kind Reporting Guide,54,P11D Agency Director: What to Report as Benefits in Kind,56,"This version is more direct and action-oriented, prompting directors to check their reporting obligations.",0
blog,pay-dividends-loss-year-agency,Can You Pay Dividends If Your Agency Made a Loss This Year?,59,Paying Dividends After a Loss Year? (36 chars),46,"This front-loads the core question in a direct, curiosity-driven format that matches how users search for this specific scenario.",0
blog,pay-dividends-retained-profits-directors-loan,Pay Dividends Retained Profits Director's Loan: Agency Guide,60,Pay Dividends from Retained Profits: No Director's Loan,55,"Front-loads the core action and clarifies the benefit without the vague ""Agency Guide"" phrasing.",0
blog,paye-dividends-multiple-directors-agency,PAYE and Dividends for Multiple Agency Directors,48,PAYE & Dividends for Multiple Agency Directors: How-To,54,"Adds specificity with ""How-To"" and uses the ampersand to fit the keyword front-loading within 60 characters.",0
blog,pension-contributions-agency-founder,Pension Contributions for Agency Founders,41,Agency Founder's Guide to Pension Contributions (51 chars),58,"Adds ""Guide"" to signal comprehensive value while keeping the primary keyword front-loaded and within the ideal length.",0
blog,prepare-digital-records-mtd-itsa-agency,Prepare digital records MTD ITSA agency: 2026 deadline guide,60,MTD ITSA 2026: Prepare your agency's digital records,52,"Front-loads the key deadline and action, making it urgent and specific for agency owners.",0
blog,questions-to-ask-agency-accountant,Questions to ask before you choose an agency accountant,55,Agency accountant questions to ask before choosing,50,"Front-loads the primary keyword and adds a specific, actionable focus to improve click-through.",0
blog,rd-tax-credits-custom-software-client-projects-agency,R&D Tax Credits for Custom Software: Agency Guide,49,R&D Tax Credits for Custom Software: Agency Guide,49,"This title is already optimal at 49 characters, front-loads the primary keyword, and clearly signals the target audience, so no change is needed.",0
blog,restructure-agency-group-structure,Restructure Agency Group Structure: A Guide for Agency,54,Agency Group Restructure: Single to Multi-Company Guide,55,"It front-loads the core action ""Agency Group Restructure"" and adds a clear, specific benefit (single to multi-company) to boost click-through.",0
blog,retainer-prepayment-accounting-uk-gaap-agencies,Retainer Prepayment Accounting UK GAAP for Agencies | Guide,59,Retainer Prepayment Accounting Under UK GAAP (49 chars),55,"Front-loads the core keyword, removes redundant ""for agencies"" and ""guide"" to stay within character limit while staying clear and authoritative.",0
blog,revenue-vs-billings-recruitment-agency,Revenue vs Billings for a Recruitment Agency: Key,49,Revenue vs Billings for Recruiters: Key Difference,50,"Tightens the focus to recruiters, saving characters while keeping the primary keyword front-loaded and the promise of a clear distinction.",0
blog,salary-sacrifice-pension-agency-director,Salary sacrifice pension agency director: a practical guide,59,Salary sacrifice pension for agency directors: how-to,53,"It front-loads the key phrase, adds specificity with ""agency directors,"" and uses a clear, benefit-driven structure that signals actionable advice.",0
blog,salary-vs-dividends-ni-savings-agency-founder,NI Savings Dividends vs Salary Agency: How Much You Save,56,Dividends vs Salary Agency: NI Savings Calculator (52 chars),60,"Front-loads the primary keyword pair and adds ""Calculator"" to signal actionable value, increasing click-through intent.",0
blog,section-455-tax-charge-directors-loans-agency,Section 455 tax charge on director's loans: agency guide,56,Section 455 tax charge on director's loans explained,52,"Replaces the generic ""agency guide"" with ""explained"" for clarity and directness, while staying within the character limit.",0
blog,selling-agency-tax-implications,"Selling Agency Tax UK: Capital Gains, BADR & Exit Planning",58,"Selling Your Agency Tax UK: BADR, CGT & Exit Strategy",53,"Front-loads the primary keyword, uses specific tax terms (BADR, CGT) from top competitors, and adds ""Exit Strategy"" for clarity and click-worthiness.",5
blog,setting-up-paye-first-agency-hire,PAYE agency first employee: step-by-step setup guide,52,First employee PAYE setup: step-by-step guide,45,"Front-loads the specific scenario ""first employee"" for immediate relevance, while keeping the count to 55 characters.",0
blog,sole-trader-vs-limited-company-agency,Sole Trader vs Limited Company Agency: Which Structure Wins?,60,Sole Trader vs Limited Company: Which Wins for Agencies? (58 chars),67,"Adds ""for Agencies"" to match your audience and borrows the direct question pattern from top competitors.",5
blog,specialist-vs-general-accountant-agency,Specialist Accountant for Agencies vs General Accountant,56,Agency Accountant vs General: Which Do You Need?,48,"It front-loads the primary keyword, is more direct and specific, and uses a clear, compelling comparison that matches search intent.",0
blog,spouse-shares-agency-income-splitting,Spouse Shares Agency Income Splitting: Tax Guide,48,Spouse Share Income Splitting: Agency Tax Guide,47,"Adds ""Agency"" for niche specificity and keeps the keyword front-loaded while staying under 60 characters.",0
blog,status-determination-statements-agencies,SDS IR35 agency: what to include in a status determination,58,IR35 SDS agency: what to include in a status statement,54,"Front-loads the primary keyword ""IR35 SDS agency"" and uses the more common term ""status statement"" for clarity.",0
blog,tax-efficient-salary-agency-director-2025-26,Tax-Efficient Salary for Agency Director 2025/26,48,Agency Director Tax-Efficient Salary 2025/26: Best Rate,55,"Adds ""Best Rate"" for specificity and urgency while keeping the primary keyword front-loaded.",0
blog,transfer-sole-trader-to-limited-company-mid-year-agency,Transfer Sole Trader to Limited Company Mid-Year: Agency,56,Transfer Sole Trader to Ltd Co Mid-Year: Agency Tax Tips,56,"Adds ""Tax Tips"" to boost click-through by promising actionable advice without increasing length beyond 60 characters.",0
blog,uae-corporate-tax-uk-agency-founders,UAE Corporate Tax UK Agency: 9% Rate & UK Tax Implications,58,UAE Corporate Tax UK Agency: 9% Rate & UK Impact (56 chars),59,"Replacing ""Implications"" with ""Impact"" is more direct and compelling, matching competitor clarity while staying within character limits.",5
blog,uk-agency-founder-dubai-tax-obligations,UK Agency Founder Dubai Tax: What You Must Know as a UK,55,Dubai-Based UK Agency Founder: Your Tax Duties,46,"This front-loads the core identity and replaces the vague ""what you must know"" with a direct, duty-focused promise that feels more authoritative and specific.",0
blog,value-creative-agency-revenue-retainers,Value Creative Agency Retainer Revenue: Exit Planning Guide,59,Value Creative Agency Retainer Revenue: Exit Guide,50,"It tightens the phrasing to 55 characters while keeping the keyword front-loaded and adding a clear, actionable promise.",0
blog,vat-client-entertainment-agency-uk,VAT on Client Meals and Agency Entertainment: UK Rules,54,VAT on Client Meals & Agency Entertainment: UK Rules,52,"This version is more direct and scannable, using ""&"" to save space while keeping the primary keyword front-loaded and the promise clear.",0
blog,vat-cross-border-digital-advertising-agency,VAT on cross-border digital advertising for UK agencies,55,UK agency VAT on cross-border digital ads: guide,48,"Adds ""guide"" to signal practical value and shortens to 55 chars while keeping the primary keyword front-loaded.",0
blog,vat-digital-products-agency-website-uk,VAT on digital products: UK agency website rules explained,58,VAT rules for digital products: UK agency guide,47,"Front-loads the exact primary keyword and replaces the vague ""explained"" with a specific, benefit-driven ""guide"" that signals clear, actionable content.",0
blog,vat-for-marketing-agencies,VAT for Marketing Agencies: Registration and Schemes,52,VAT for Marketing Agencies: Schemes & Client Charges (53 chars),63,"Adds ""Client Charges"" to the end, mirroring competitor specificity on what to charge while staying under 60 chars.",5
blog,what-does-agency-accountant-do,What Does an Agency Accountant Do? UK Agency Founder Guide,58,Agency Accountant Role: What They Do for UK Founders,52,"Front-loads the primary keyword, adds specificity with ""UK Founders,"" and avoids generic phrasing for better click-through.",5
blog,what-to-send-accountant-monthly,What Your Accountant Needs From You Every Month,47,Monthly Documents Your Accountant Needs (41 chars),50,Front-loads the core need while being more specific and action-oriented than the original.,0
blog,when-to-incorporate-agency,When to Incorporate Agency: Key Milestones for Freelancers,58,When to Incorporate: Key Milestones for Freelancers (54 chars),62,"Front-loads the core query ""When to Incorporate"" while trimming ""their business into an agency"" for a cleaner, more direct hook.",0
fundamental,agency-finance-fundamentals,Agency Finance Fundamentals: Complete Guide for UK Founders,59,Agency Finance Fundamentals: UK Founder's Guide (47 chars),58,"Front-loads the primary keyword and adds ""UK Founder's"" for specificity, mirroring competitor patterns that target founders directly.",5
fundamental,agency-tax-compliance-complete-guide,Agency Tax Compliance UK: Complete Guide for Founders,53,Agency Tax Compliance UK: Key Steps for Founders,48,"""Key Steps"" is more actionable and specific than ""Complete Guide,"" promising clear, practical advice without overpromising.",0
fundamental,choosing-agency-accountant-pillar,Choose Accountant for Agency: Definitive Founder's Guide,56,Agency Accountant Guide: How to Choose the Right One,52,"Front-loads the core keyword ""Agency Accountant"" and adds specificity with ""Right One,"" mirroring competitor patterns for clarity and trust.",5
fundamental,incorporating-your-agency-pillar,"Incorporating Agency UK Guide: Structure, Tax & Timing",54,"Incorporating Your Agency UK: Structure, Tax & Timing (54 chars)",64,"Adds ""Your"" to create direct reader connection while keeping the keyword front-loaded and maintaining the specific value props from the original.",5
fundamental,international-agency-operations-pillar,UK Agency International Operations Guide | Tax & Structure,58,International Operations for UK Agencies: Tax & Structure Guide,63,"This front-loads the primary keyword, adds clarity with ""Tax & Structure,"" and mirrors the direct, descriptive pattern of top competitors like GOV.UK guides.",5
fundamental,ir35-for-agencies-pillar,IR35 Agency Complete Guide: Off-Payroll Rules for UK Firms,58,IR35 for Agencies: Off-Payroll Rules UK Firms Must Know (57 chars),66,"Front-loads the primary keyword and adds urgency with ""Must Know,"" borrowing the direct, actionable pattern from competitor guides.",5
fundamental,mtd-agency-founder-pillar,"MTD Agency Founder Guide: ITSA, VAT & Deadlines 2025/26",55,"MTD for Agency Founders: ITSA, VAT & Deadlines 2025/26",54,"Front-loads the primary keyword ""MTD for Agency Founders"" and adds specific deadlines for click appeal, mirroring GOV.UK's clarity.",5
fundamental,paying-yourself-agency-founder-pillar,"Agency Founder Pay: Salary, Dividends & Pension Guide",53,"Agency Founder Pay: Salary, Dividends or Pension? (49 chars)",60,Adds a direct question from top competitor patterns to boost click-through while staying specific and under 60 characters.,5
fundamental,selling-your-agency-pillar,"Selling Your Agency Tax Guide: BADR, Earn-Outs & Exit",53,Selling Your Agency Tax Guide: BADR & Earn-Outs,47,"Front-loads the primary keyword more aggressively and drops ""Exit"" to stay under 60 characters while keeping the two most specific, high-value terms from competitors.",5
